run_date,data_date,primary_regime,primary_score,risk_on_score,risk_off_score,recession_scare_score,inflation_shock_score,rates_shock_score,goldilocks_score,commodity_reflation_score,stagflation_score,dollar_squeeze_score,credit_stress_score,defensive_rotation_score,tech_led_risk_on_score,safe_haven_bid_score,energy_supply_shock_score,em_stress_score,neutral_mixed_score
2026-06-21,2026-06-21,Disinflation / Goldilocks,85.7,74.4,8.3,36.9,5.4,12.0,85.7,42.9,4.6,34.4,12.0,0.0,84.6,24.0,7.2,15.8,14.3
2026-06-22,2026-06-22,Defensive Rotation,67.6,15.8,26.0,39.9,43.0,58.3,12.3,28.6,49.1,39.2,38.8,67.6,31.7,14.3,46.5,37.2,32.4
2026-06-23,2026-06-23,EM Stress,100.0,4.8,77.5,66.4,19.8,31.0,16.9,12.2,49.1,83.3,66.7,84.5,5.4,38.8,50.0,100.0,0.0
2026-06-24,2026-06-24,EM Stress,60.0,49.6,20.8,55.3,12.0,21.5,53.1,28.6,11.3,58.3,35.8,28.7,13.6,43.0,0.0,60.0,40.0
2026-06-25,2026-06-25,Commodity Reflation,84.6,53.3,15.6,30.7,32.9,6.6,42.9,84.6,24.6,10.8,6.6,31.3,61.5,38.8,25.8,6.5,15.4
2026-06-26,2026-06-26,Defensive Rotation,100.0,15.8,66.5,46.5,21.5,23.2,30.7,33.1,39.5,17.7,35.8,100.0,5.9,54.3,34.4,31.6,0.0
2026-06-29,2026-06-29,Tech-Led Risk-On,92.3,80.0,9.7,18.4,21.5,6.6,57.1,53.8,24.6,20.6,0.0,7.8,92.3,0.0,34.4,18.6,7.7
2026-06-30,2026-06-30,Tech-Led Risk-On,76.9,60.0,19.4,18.4,14.3,13.2,50.0,46.2,18.4,14.7,6.6,7.8,76.9,0.0,7.9,27.9,23.1
2026-07-01,2026-07-01,Rates Shock / Higher-for-Longer,100.0,18.6,33.2,22.6,43.0,100.0,6.1,28.6,39.9,47.1,41.7,23.5,11.8,23.2,10.0,65.1,0.0
2026-07-02,2026-07-02,Rates Shock / Higher-for-Longer,66.7,31.0,27.7,22.6,38.8,66.7,18.4,46.2,43.0,11.8,21.5,50.7,25.4,21.5,18.6,23.7,33.3
2026-07-03,2026-07-03,Defensive Rotation,90.9,11.5,47.1,53.1,28.7,23.2,24.6,50.1,43.0,19.2,28.7,90.9,23.6,58.3,37.2,31.6,9.1
2026-07-06,2026-07-06,Tech-Led Risk-On,76.9,73.3,13.5,18.4,19.8,14.3,57.1,61.5,16.9,0.0,12.0,7.2,76.9,23.2,7.9,7.2,23.1
2026-07-07,2026-07-07,Defensive Rotation,93.0,18.6,41.6,33.2,50.0,33.3,12.3,38.5,73.1,44.2,31.0,93.0,6.3,14.3,83.7,55.8,7.0
2026-07-08,2026-07-08,Defensive Rotation,93.0,10.5,52.0,46.5,62.0,54.3,11.3,28.6,86.4,62.8,38.8,93.0,5.9,13.2,93.0,90.0,7.0
2026-07-09,2026-07-09,Tech-Led Risk-On,94.2,74.4,16.6,28.2,6.0,6.6,66.4,64.4,6.1,6.4,21.5,0.0,94.2,58.3,0.0,7.2,5.8
2026-07-10,2026-07-10,Neutral / Mixed,57.7,26.7,16.6,13.3,16.7,25.0,21.4,38.5,33.2,19.2,14.3,42.3,25.4,7.2,18.6,8.6,57.7
2026-07-13,2026-07-13,Defensive Rotation,100.0,10.5,55.4,30.7,66.7,33.3,5.6,50.1,79.7,51.5,38.8,100.0,11.8,21.5,93.0,65.1,0.0
2026-07-14,2026-07-14,Defensive Rotation,100.0,18.6,55.4,33.2,66.7,41.7,13.3,64.4,79.7,23.6,23.2,100.0,19.0,28.7,60.2,31.6,0.0
2026-07-15,2026-07-15,Defensive Rotation,90.9,31.0,49.9,35.7,41.7,41.7,33.2,42.9,59.8,19.2,21.5,90.9,19.0,7.2,46.5,25.8,9.1
2026-07-16,2026-07-16,Neutral / Mixed,50.6,24.8,27.7,28.2,28.7,28.7,26.6,50.1,26.6,29.4,28.7,23.5,5.9,50.0,10.0,34.4,50.6
2026-07-17,2026-07-17,Defensive Rotation,84.5,10.5,46.8,39.9,38.8,33.3,6.1,28.6,66.4,54.9,38.8,84.5,5.9,15.5,55.8,80.0,15.5
2026-07-20,2026-07-20,Risk-Off / Market Stress,66.5,28.7,66.5,36.9,35.8,31.0,24.6,46.3,46.5,29.4,50.0,59.2,11.8,16.7,37.2,43.0,33.5
2026-07-21,2026-07-21,Commodity Reflation,61.5,43.4,19.4,33.2,46.5,35.8,39.9,61.5,33.9,5.9,18.0,39.1,61.5,19.8,31.6,0.0,38.5
